UV-Vis Spectrum of Solution of Ferrocene in anhydrous Acetone
wavelength,absorbance
724.1,-0.00342154
724,-0.00342411
723.9,-0.00340214
723.8,-0.00341916
723.7,-0.00340441
723.6,-0.00339874
723.5,-0.00341056
723.4,-0.00337892
723.3,-0.00336764
723.2,-0.00336483
723.1,-0.00333552
723,-0.00333003
722.9,-0.00332359
722.8,-0.00329786
722.7,-0.00331093
722.6,-0.00329475
722.5,-0.00328544
722.4,-0.00329726
722.3,-0.00330562
722.2,-0.00332221
722.1,-0.00334269
722,-0.00334543
721.9,-0.00333027
721.8,-0.00333397
721.7,-0.00332233
721.6,-0.0033043
721.5,-0.00328514
721.4,-0.0032732
721.3,-0.00329052
721.2,-0.00331093
721.1,-0.00333409
721,-0.00333218
720.9,-0.00330944
720.8,-0.0032978
720.7,-0.00330096
720.6,-0.00331009
720.5,-0.0033372
720.4,-0.00334161
720.3,-0.00332735
720.2,-0.00332197
720.1,-0.00328598
720,-0.00328425
719.9,-0.00328896
719.8,-0.00331756
719.7,-0.00331386
719.6,-0.00329595
719.5,-0.00328329
719.4,-0.00324401
719.3,-0.00326515
719.2,-0.00327195
719.1,-0.0032658
719,-0.00327362
718.9,-0.00325953
718.8,-0.00326282
718.7,-0.00328037
718.6,-0.00328455
718.5,-0.00328502
718.4,-0.00327111
718.3,-0.0032584
718.2,-0.00324372
718.1,-0.00324097
718,-0.00325225
717.9,-0.00324676
717.8,-0.00325601
717.7,-0.00326712
717.6,-0.00325356
717.5,-0.00325882
717.4,-0.00324228
717.3,-0.00323255
717.2,-0.00325446
717.1,-0.00326252
717,-0.00328049
716.9,-0.00327547
716.8,-0.00325052
716.7,-0.00322849
716.6,-0.0032116
716.5,-0.0032196
716.4,-0.00321936
716.3,-0.00321721
716.2,-0.00322055
716.1,-0.00320533
716,-0.00323082
715.9,-0.00325822
715.8,-0.00327565
715.7,-0.00328484
715.6,-0.00326735
715.5,-0.00324545
715.4,-0.00324939
715.3,-0.00323983
715.2,-0.00324664
715.1,-0.00324545
715,-0.00323261
714.9,-0.00322342
714.8,-0.00321339
714.7,-0.00319966
714.6,-0.00319554
714.5,-0.00322372
714.4,-0.00321757
714.3,-0.00322658
714.2,-0.00320223
714.1,-0.00318563
714,-0.00320008
713.9,-0.00320712
713.8,-0.00322139
713.7,-0.00322199
713.6,-0.00321029
713.5,-0.00319315
713.4,-0.00318915
713.3,-0.00319041
713.2,-0.00318611
713.1,-0.00319506
713,-0.00319906
712.9,-0.00320109
712.8,-0.00319202
712.7,-0.003203
712.6,-0.00320903
712.5,-0.0031762
712.4,-0.00318856
712.3,-0.00317244
712.2,-0.00318342
712.1,-0.00321679
712,-0.00321566
711.9,-0.00321381
711.8,-0.00318766
711.7,-0.00319357
711.6,-0.00318139
711.5,-0.00317011
711.4,-0.00316772
711.3,-0.00313883
711.2,-0.00314188
711.1,-0.0031497
711,-0.00314206
710.9,-0.00315871
710.8,-0.00315537
710.7,-0.00314283
710.6,-0.00315137
710.5,-0.00315089
710.4,-0.00315352
710.3,-0.00315811
710.2,-0.00315823
710.1,-0.00314588
